Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-08-12 07:06:40,false,"Arlington County Running","5.12","457","0:32","153","181","3.3","146","161","6:13","4:58","81","81","1.10","8.6","9.4","315","6:03","389","0.0","377","546","4,642","-11","No","00:01:07.5","6","00:31:40","00:31:48","9","75"
Treadmill Running,2025-08-09 10:27:38,false,"Treadmill Running","20.34","1,457","2:10","151","166","3.7","144","193","6:22","4:51","--","--","1.10","8.4","9.3","314","--","356","0.0","342","492","18,602","-25","No","00:02:02.6","21","02:07:43","02:09:32","--","--"
Treadmill Running,2025-08-07 20:02:08,false,"Treadmill Running","5.21","393","0:28","153","165","3.1","149","160","5:22","4:21","--","--","1.25","8.1","10.1","302","--","416","0.0","413","547","4,158","-6","No","00:01:04.0","6","00:27:58","00:27:59","--","--"
Treadmill Running,2025-08-06 19:14:57,false,"Treadmill Running","10.17","693","0:57","146","168","3.0","147","195","5:34","4:21","--","--","1.23","8.1","9.9","304","--","412","0.0","402","551","8,266","-8","No","00:01:02.2","11","00:56:06","00:56:38","--","--"
Treadmill Running,2025-08-02 09:10:58,false,"Treadmill Running","11.19","884","1:12","149","169","3.2","142","161","6:25","4:54","--","--","1.10","8.4","9.3","326","--","351","0.0","342","485","10,176","-18","No","00:01:03.9","12","01:11:01","01:13:38","--","--"
Treadmill Running,2025-07-30 19:36:18,false,"Treadmill Running","8.10","588","0:52","140","164","2.6","142","158","6:22","4:55","--","--","1.07","8.5","9.1","328","--","341","0.0","331","485","7,248","-7","No","00:05:03.5","8","00:51:25","00:51:35","--","--"
Treadmill Running,2025-07-29 18:27:33,false,"Treadmill Running","5.00","367","0:30","144","166","2.8","145","225","5:50","4:19","--","--","1.17","8.4","9.7","318","--","380","0.0","373","561","4,180","-5","No","00:05:04.2","5","00:28:50","00:29:07","--","--"
Treadmill Running,2025-07-27 11:38:27,false,"Treadmill Running","16.10","1,075","1:52","142","153","3.1","142","218","6:57","4:16","--","--","1.12","8.4","9.3","316","--","356","0.0","340","552","15,886","-19","No","00:04:30.7","18","01:49:56","01:52:27","--","--"
Treadmill Running,2025-07-25 19:19:26,false,"Treadmill Running","5.00","332","0:30","138","152","2.2","146","158","5:52","5:28","--","--","1.04","8.8","9.1","323","--","333","0.0","329","413","4,276","-4","No","00:03:01.5","5","00:29:14","00:29:22","--","--"
Treadmill Running,2025-07-23 19:41:58,false,"Treadmill Running","8.10","565","0:54","139","159","2.4","145","158","6:39","4:46","--","--","1.21","8.2","10.0","317","--","386","0.0","384","492","7,804","-7","No","00:02:41.0","10","00:53:38","00:53:53","--","--"
